accession	organism	kingdom	length	cleavage_site
A0A0D1DWQ2	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis)	Fungi	290	21
A0A1L6K371	Juglans nigra (Black walnut) (Wallia nigra)	Plants	510	23
A0A1S3PBB7	Salmo salar (Atlantic salmon)	Metazoa	375	23
A0A2I4E5L6	Juglans regia (English walnut)	Plants	502	27
A0A2L0ART2	Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	Metazoa	76	23
A0A411EZW9	Agkistrodon piscivorus leucostoma (Western cottonmouth) (Acontias leucostoma)	Metazoa	138	16
A0A482A9N4	Talaromyces verruculosus (Penicillium verruculosum)	Fungi	328	21
A0A5C2A2T2	Conus purpurascens (Purple cone)	Metazoa	178	24
A0A7E5WTY7	Trichoplusia ni (Cabbage looper)	Metazoa	211	20
A0A7J6K7I9	Toxoplasma gondii	Other	553	64
A0A7J6K7Y0	Toxoplasma gondii	Other	640	70
A0A7M6UMR7	Apis mellifera (Honeybee)	Metazoa	1010	16
A0A8T9EMC0	Heliotropium indicum (Indian heliotrope)	Plants	661	20
A0A8U0WQF3	Apis mellifera (Honeybee)	Metazoa	684	21
A0A8U1C2Y4	Apis mellifera (Honeybee)	Metazoa	686	19
A2AJB7	Mus musculus (Mouse)	Metazoa	192	26
A2VBC4	Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	Metazoa	322	18
A3RF67	Dalbergia nigrescens (Thai blackwood)	Plants	547	31
A4VBF0	Vipera nikolskii (Nikolsky's adder) (Vipera berus nikolskii)	Metazoa	138	16
A5HAK0	Danio rerio (Zebrafish) (Brachydanio rerio)	Metazoa	149	22
A6P6V9	Cannabis sativa (Hemp) (Marijuana)	Plants	544	28
A6XMY0	Hyas araneus (Atlantic lyre crab) (Great spider crab)	Metazoa	64	25
A8CG78	Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	Metazoa	138	16
A8CG82	Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	Metazoa	138	16
A8CG86	Daboia russelii (Russel's viper) (Vipera russelii)	Metazoa	138	16
A8CL69	Apis mellifera (Honeybee)	Metazoa	195	33
A8E2V8	Trimeresurus gracilis (Kikuchi habu)	Metazoa	139	16
A8QL52	Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	Metazoa	517	19
B0XT72	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)	Fungi	452	19
B2G331	Radianthus crispa (Leathery sea anemone) (Heteractis crispa)	Metazoa	78	22
B3A003	Crassostrea virginica (Eastern oyster)	Metazoa	187	18
B7S4N9	Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan)	Metazoa	88	24
B7ZS96	Xenopus laevis (African clawed frog)	Metazoa	153	19
B8AL97	Oryza sativa subsp. indica (Rice)	Plants	470	34
B8JLQ9	Danio rerio (Zebrafish) (Brachydanio rerio)	Metazoa	363	24
C0H9B6	Salmo salar (Atlantic salmon)	Metazoa	413	19
C0HJM9	Tityus fasciolatus (Central Brazilian scorpion)	Metazoa	84	20
C0HK27	Dioclea lasiophylla	Plants	291	28
C0HKC3	Agkistrodon piscivorus leucostoma (Western cottonmouth) (Acontias leucostoma)	Metazoa	139	16
C0HKM3	Conus purpurascens (Purple cone)	Metazoa	458	18
C0HLL2	Pithecopus azureus (Orange-legged monkey tree frog) (Phyllomedusa azurea)	Metazoa	146	18
C7F6X3	Leucosporidium sp. (strain AY30) (Arctic yeast)	Fungi	261	20
C7G3K3	Liocheles australasiae (Dwarf wood scorpion)	Metazoa	80	21
C9K4X8	Patiria pectinifera (Starfish) (Asterina pectinifera)	Metazoa	116	29
D3GDK4	Cryptopygus antarcticus (Antarctic springtail)	Metazoa	225	15
D4A540	Rattus norvegicus (Rat)	Metazoa	148	31
E0D877	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	Metazoa	564	25
E3W9M2	Dianthus caryophyllus (Carnation) (Clove pink)	Plants	502	30
E7BLC7	Androctonus crassicauda (Arabian fat-tailed scorpion)	Metazoa	84	17
E7CLP2	Rhopalurus junceus (Caribbean blue scorpion) (Heteroctenus junceus)	Metazoa	83	18
F1N2K1	Bos taurus (Bovine)	Metazoa	508	31
F1N5C8	Bos taurus (Bovine)	Metazoa	445	22
F1NSM7	Gallus gallus (Chicken)	Metazoa	743	18
F1RRV3	Sus scrofa (Pig)	Metazoa	2692	19
F8QN53	Vipera renardi (Steppe viper) (Vipera ursinii renardi)	Metazoa	137	16
F8QN54	Vipera renardi (Steppe viper) (Vipera ursinii renardi)	Metazoa	138	16
G4ZHR2	Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	Other	241	19
G5ED35	Caenorhabditis elegans	Metazoa	135	20
G8XQX1	Daboia russelii (Russel's viper) (Vipera russelii)	Metazoa	504	18
H6U1I8	Tanacetum cinerariifolium (Dalmatian daisy) (Chrysanthemum cinerariifolium)	Plants	365	27
I1SB12	Microdochium nivale (Pink snow mold) (Lanosa nivalis)	Fungi	495	22
I2C090	Ophiophagus hannah (King cobra) (Naja hannah)	Metazoa	1641	22
I2G9B4	Macrovipera lebetinus transmediterranea (Blunt-nosed viper) (Vipera lebetina transmediterranea)	Metazoa	95	24
I3LGZ3	Sus scrofa (Pig)	Metazoa	81	24
J7H670	Lachesis muta (South American bushmaster)	Metazoa	516	18
K9IMD0	Desmodus rotundus (Vampire bat)	Metazoa	708	19
K9L4P7	Penicillium chrysogenum (Penicillium notatum)	Fungi	604	18
M1MR49	Rhipicephalus appendiculatus (Brown ear tick)	Metazoa	176	24
O00092	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	Fungi	465	26
O00100	Aspergillus terreus	Fungi	466	19
O00175	Homo sapiens (Human)	Metazoa	119	26
O00206	Homo sapiens (Human)	Metazoa	839	23
O00300	Homo sapiens (Human)	Metazoa	401	21
O00478	Homo sapiens (Human)	Metazoa	584	29
O00585	Homo sapiens (Human)	Metazoa	134	23
O00602	Homo sapiens (Human)	Metazoa	326	29
O00626	Homo sapiens (Human)	Metazoa	93	24
O00748	Homo sapiens (Human)	Metazoa	559	26
O00754	Homo sapiens (Human)	Metazoa	1011	49
O01949	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	Metazoa	273	19
O02839	Sus scrofa (Pig)	Metazoa	363	44
O02853	Bos taurus (Bovine)	Metazoa	191	28
O08523	Mus musculus (Mouse)	Metazoa	2155	24
O08795	Mus musculus (Mouse)	Metazoa	521	14
O09049	Mus musculus (Mouse)	Metazoa	174	26
O09165	Mus musculus (Mouse)	Metazoa	405	34
O11780	Sus scrofa (Pig)	Metazoa	683	23
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Fungi	238	22
O14625	Homo sapiens (Human)	Metazoa	94	21
