accession	organism	kingdom	length	tm_in_first_90
A0A061ACU2	Caenorhabditis	Metazoa	2442	True
A0A067XGX8	Petunia	Plants	512	False
A0A067XH53	Petunia	Plants	533	False
A0A075D657	Vinca	Plants	322	False
A0A075TRC0	Penicillium	Fungi	1776	False
A0A076FFM5	Ocimum	Plants	523	False
A0A078CGE6	Brassica	Plants	1299	False
A0A087X1C5	Homo	Metazoa	515	True
A0A095C325	Cryptococcus deuterogattii	Fungi	1408	False
A0A096LP01	Homo	Metazoa	95	True
A0A0A1C3I2	Panax	Plants	573	True
A0A0B4J1F4	Mus	Metazoa	415	False
A0A0B4J2F0	Homo	Metazoa	54	True
A0A0B5A051	Humulus	Plants	414	False
A0A0B5L781	Penicillium	Fungi	398	False
A0A0B5LB55	Penicillium	Fungi	433	False
A0A0D2Y5A7	Fusarium oxysporum	Fungi	457	False
A0A0E3JHZ7	Taxus	Plants	555	False
A0A0E3T3B5	Malus	Plants	503	False
A0A0E3T552	Malus	Plants	503	False
A0A0F7G352	Vanilla	Plants	356	False
A0A0G2K047	Rattus	Metazoa	683	False
A0A0G2K309	Rattus	Metazoa	301	True
A0A0G2KTI4	Danio	Metazoa	1136	False
A0A0H5BMX5	Tulipa	Plants	440	False
A0A0J9UVG7	Fusarium oxysporum	Fungi	326	False
A0A0R0H9T5	Glycine subgen. Soja	Plants	172	False
A0A0R4IMY7	Danio	Metazoa	1470	False
A0A0R4IY06	Danio	Metazoa	179	False
A0A0S2UWC9	Petunia	Plants	249	False
A0A0U2UYC4	Mycosarcoma	Fungi	493	False
A0A0U3BRC5	Leucosceptrum	Plants	364	False
A0A140LIF8	Mus	Metazoa	395	False
A0A143ZZK9	Plasmodium falciparum	Other	1264	False
A0A178WF56	Arabidopsis	Plants	71	True
A0A193KX02	Danio	Metazoa	259	False
A0A1B1FHP3	Catharanthus	Plants	365	False
A0A1C3NSL9	Caenorhabditis	Metazoa	1644	False
A0A1D6LAB7	Zea	Plants	743	False
A0A1D6LTV0	Zea	Plants	627	False
A0A1D8PI22	Candida albicans	Fungi	367	False
A0A1D8PJ01	Candida albicans	Fungi	895	False
A0A1D8PT03	Candida albicans	Fungi	288	False
A0A1E3P8S6	Wickerhamomyces anomalus	Fungi	391	False
A0A1L8FDW4	Xenopus	Metazoa	619	False
A0A1S3XSG2	Nicotiana	Plants	786	False
A0A1S4BDC4	Nicotiana	Plants	790	False
A0A1S4FPC9	Stegomyia	Metazoa	3364	False
A0A254TZW7	Circumdati	Fungi	524	True
A0A2I0BVG8	Plasmodium falciparum	Other	524	False
A0A2K3DZC4	Chlamydomonas	Plants	156	False
A0A2P1GIW2	Catharanthus	Plants	330	False
A0A2P1GIW3	Catharanthus	Plants	320	False
A0A2Z5GDY5	Lotus	Plants	658	False
A0A386CAB9	Danio	Metazoa	1355	False
A0A3S7X906	Leishmania donovani species complex	Other	625	False
A0A437AGY2	Arthrobotrys	Fungi	538	True
A0A494BA31	Mus	Metazoa	952	False
A0A498JQK2	Malus	Plants	214	False
A0A509AHB6	Plasmodium berghei	Other	523	False
A0A509APT1	Plasmodium berghei	Other	258	True
A0A5F8MPU3	Mus	Metazoa	2282	False
A0A5K1K8H0	Plasmodium falciparum	Other	568	False
A0A6P3HVI0	Bison bison	Metazoa	535	True
A0A7G5KET3	Aspergillus flavus	Fungi	417	False
A0A7J6K629	Toxoplasma	Other	547	True
A0A7J6KEV6	Toxoplasma	Other	124	False
A0A8C0TYJ0	Canis lupus	Metazoa	927	False
A0A8I3NFE2	Canis lupus	Metazoa	1264	False
A0A8I3PDQ1	Canis lupus	Metazoa	834	False
